Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
M4,625933,1441162,5615613,381693,1432261,182303,892669,2431475,2537276,661313,5353666,352157,783377,241029,214850,129745,314104,458537,505601,126558,75332,47632,363064,124433,73005,443175,56321,42008,525430,257746,38238,36693,270660,47626,59081,70381,79460,92187,156524,144384,96406,92955
M4,592401,1454204,5465839,375399,1365510,178950,871126,2433516,2451673,628889,5188744,322175,702251,228863,212651,129741,310337,438249,487028,119599,74678,44576,352080,120516,70958,429674,54031,40138,497008,254771,34358,34342,261072,45305,54217,70189,77321,88089,148423,153641,102441,90479
M4,604999,1445944,5587279,359292,1361223,171347,920201,2568381,2543780,610664,5285114,335355,752809,233650,214513,126115,317369,444131,522906,130314,73775,44599,350997,118708,69765,427448,53453,40340,488725,252199,33686,33942,262807,46432,56645,72333,75785,91817,151053,144167,98937,87475
M5,1005650,1450607,6430318,619516,2117843,306136,1047377,3119421,2234909,960179,5993357,517654,710794,299325,263652,150999,366439,520779,594893,184815,108377,71548,413647,194265,73247,552874,63742,48243,601725,295198,23371,45183,308745,61227,68768,57331,79049,43453,179333,173778,110789,93831
M5,1002748,1534574,6735330,657285,2170576,313154,1115198,3279434,2364433,1030745,6267300,531638,774719,317981,292473,170304,401972,545534,669143,201996,112283,72474,428875,203384,75530,561160,62982,48445,606488,299352,21015,46523,309016,55786,61816,51807,74260,64945,166729,164323,107808,87959
M5,981777,1516183,6661086,642122,2140656,307218,1065813,3174044,2291186,981267,6216027,515715,742978,308176,281312,158640,384649,530226,615335,192255,104736,68313,409068,182765,71293,545582,60461,47314,594285,301356,21522,44753,301813,57846,63669,53302,72930,41593,173977,167898,104309,86780
M5,1121446,1626959,7098142,708810,2339621,332010,1172226,3426962,2449418,1066252,6667047,555368,810868,353595,304275,169973,407161,558658,657908,204173,108132,71841,421636,198034,76112,597164,67287,53255,667797,329517,24142,49968,329693,62452,69033,57822,79533,72555,188621,181643,119484,97151
M5,1116788,1632194,7161128,720575,2353684,340885,1219556,3572747,2539925,1088126,6753832,550380,815758,349419,307518,174885,416014,574928,678821,212072,112705,73864,430821,203257,76203,588840,66158,53901,650471,320663,23676,49328,332860,62757,70560,59433,80504,72174,189740,180464,120884,94980
M6,884452,1649713,6359476,556900,1874215,245155,1115012,3149527,2716073,865395,6722349,400077,899070,310656,272582,171462,415985,575033,708847,183871,105662,61612,416898,179185,75908,589945,60908,48531,693214,303941,28574,44330,316333,54190,68102,72355,81248,84883,184452,169956,118949,94590
M6,981074,1891532,7312371,633312,2176918,286053,1278505,3522546,3092199,1016491,7460542,436699,990817,329657,287740,180296,440218,618083,739585,190153,107017,62476,433521,190423,86062,644765,65989,54634,761761,332452,29304,47136,337927,56184,72456,74984,84324,86934,193810,185077,116527,97017
