EM1 EM2 EM3
7.348454354864182581e-02 7.502092597052364420e-01 1.763061967461216906e-01
6.888079813879117996e-02 7.240398898670625805e-01 2.070793119941461979e-01
4.732267450417376731e-02 7.451287444490659606e-01 2.075485810467602721e-01
3.730909622661348485e-02 7.435477566758266210e-01 2.191431470975598872e-01
7.444699952783502550e-02 7.378255606518434595e-01 1.877274398203215566e-01
7.336186406090018652e-02 7.394261538361874830e-01 1.872119821029124276e-01
7.360334724108423543e-02 7.587439853682582669e-01 1.676526673906575948e-01
4.848463972315960463e-02 7.359177932580612813e-01 2.155975670187791349e-01
0.000000000000000000e+00 7.755556252072259849e-01 2.244443747927740707e-01
7.409804309363900165e-02 7.497018718391486036e-01 1.762000850672122698e-01
2.234679355344719107e-02 7.815502652746429968e-01 1.961029411719098503e-01
6.631891679813929630e-02 7.365568019339084893e-01 1.971242812679521172e-01
4.397901617033862093e-02 7.451455269574925877e-01 2.108754568721687150e-01
1.010037464566491483e-17 8.059041543688394427e-01 1.940958456311604741e-01
8.822074748011864143e-02 7.611724906767131094e-01 1.506067618431682631e-01
3.075748678259584284e-02 8.082819749323787439e-01 1.609605382850254895e-01
6.777252389261870236e-02 7.512922995296530404e-01 1.809351765777281740e-01
6.345150298941598654e-02 7.589873513678202510e-01 1.775611456427638735e-01
0.000000000000000000e+00 7.983357475967948202e-01 2.016642524032051520e-01
8.461925391330681057e-02 7.558694520793405314e-01 1.595112940073526997e-01
8.314565272790884476e-02 7.586412295420543739e-01 1.582131177300369063e-01
6.182860118459620330e-02 7.592457051431520387e-01 1.789256936722519176e-01
5.786570346021288613e-02 7.668163036224711071e-01 1.753179929173159235e-01
1.189024016119103240e-18 7.868128146665407385e-01 2.131871853334592337e-01
8.543884547143740238e-02 7.468881130311288974e-01 1.676730414974337280e-01
8.377079441520451919e-02 7.494564389278192129e-01 1.667727666569764344e-01
6.234059850813446213e-02 7.469292338475587156e-01 1.907301676443069194e-01
6.217269751783462139e-02 7.428090423137139187e-01 1.950182601684514738e-01
0.000000000000000000e+00 7.990180249282229363e-01 2.009819750717770914e-01
3.583083807194562681e-02 7.884876305381459671e-01 1.756815313899083297e-01
8.397701570621692035e-02 7.602296395475758306e-01 1.557933447462071519e-01
6.527753944021542909e-02 7.471768171808134129e-01 1.875456433789711996e-01
6.137332160342981457e-02 7.547078622425522632e-01 1.839188161540178668e-01
0.000000000000000000e+00 8.116385247277132509e-01 1.883614752722868046e-01
9.573118496945791367e-02 7.595296063912474471e-01 1.447392086392947086e-01
9.541297654940519846e-02 7.604603994063892092e-01 1.441266240442056201e-01
2.637216518625878567e-02 7.817589660914479044e-01 1.918688687222932787e-01
2.426126869718186682e-02 7.877996492088589209e-01 1.879390820939590978e-01
3.624799230622323398e-02 7.837166511956069614e-01 1.800353564981697352e-01
4.283217408980824481e-02 7.840682128484346425e-01 1.730996130617572237e-01
4.300120898667391528e-02 7.848705461347237344e-01 1.721282448786022878e-01
7.121833705150570903e-02 7.475607170760812936e-01 1.812209458724129418e-01
2.209645657754637921e-02 7.830405847096457705e-01 1.948629587128079821e-01
0.000000000000000000e+00 7.923840276062631416e-01 2.076159723937368029e-01
