EM1 EM2 EM3 cv
4.302577836368616460e+01 3.460846562784767855e+01 2.236575600846615686e+01 4.969413851057604553e-02
4.295940545675083655e+01 3.444037864084568668e+01 2.260021590240345546e+01 5.003870732420209050e-02
4.318744601125464300e+01 3.344861517813205865e+01 2.336393881061330902e+01 4.443766949562262536e-02
4.385647915998784185e+01 3.669560489542900683e+01 1.944791594458315842e+01 4.978056559619646604e-02
4.276830955975042059e+01 3.626791976325168321e+01 2.096377067699790686e+01 4.665540536767018298e-02
4.339295392078376068e+01 3.565695526631961343e+01 2.095009081289662234e+01 4.958129788537143229e-02
4.342693751209800013e+01 3.542867689751106042e+01 2.114438559039092880e+01 5.004624957664869506e-02
4.733015497076310396e+01 2.938581046250499540e+01 2.328403456673190064e+01 4.534487505904324922e-02
4.696741741202006892e+01 3.339573678665865941e+01 1.963684580132127522e+01 5.093004232718711249e-02
4.586218543264859449e+01 3.294046410336445518e+01 2.119735046398695744e+01 4.779190489888666266e-02
4.642307301476906645e+01 3.241821900668520584e+01 2.115870797854571705e+01 5.059530323025342863e-02
4.630953037595669031e+01 3.231662068970980783e+01 2.137384893433350541e+01 5.096190187819812228e-02
4.599409045147859132e+01 2.944058875001641695e+01 2.456532079850499528e+01 4.469420286451220026e-02
4.653237626213991973e+01 3.283193969169932558e+01 2.063568404616075824e+01 5.023198614620517227e-02
4.548602860882117938e+01 3.226854378001708312e+01 2.224542761116173750e+01 4.707361940958069979e-02
4.604550732755965470e+01 3.176726886398850525e+01 2.218722380845183650e+01 4.996406660802119731e-02
4.594988491414581233e+01 3.166531383680031198e+01 2.238480124905386148e+01 5.021610194894357559e-02
4.483138484652293698e+01 2.918053476314262795e+01 2.598808039033443862e+01 4.431478793198231902e-02
4.668614896911803669e+01 3.143395777037417815e+01 2.187989326050779226e+01 4.957761471928865543e-02
4.479453749628382297e+01 3.162170804541713665e+01 2.358375445829903683e+01 4.662470488691054099e-02
4.551267910341930900e+01 3.096900090595126187e+01 2.351831999062942913e+01 4.960152388641470012e-02
4.549974978525633418e+01 3.079736809506950124e+01 2.370288211967416814e+01 4.984550313777479785e-02
4.563130906213800841e+01 2.985987018855332664e+01 2.450882074930867205e+01 4.416885896972411185e-02
4.644713161204830953e+01 3.306256818149505250e+01 2.049030020645663441e+01 4.972206898363332184e-02
4.518725819307509539e+01 3.272227170792341155e+01 2.209047009900150371e+01 4.666484010382934700e-02
4.616245624739614328e+01 3.197901443976299873e+01 2.185852931284085443e+01 4.948012401119265130e-02
4.567021716580993029e+01 3.206766174197846198e+01 2.226212109221160773e+01 4.984668758834757268e-02
4.534732365974040391e+01 3.171581441375121457e+01 2.293686192650838862e+01 4.490131701537830589e-02
4.609574465758694117e+01 3.490734262195958593e+01 1.899691272045348356e+01 5.010205733757606278e-02
4.499473656219379336e+01 3.446661783192516282e+01 2.053864560588104737e+01 4.707154075626806405e-02
4.553306608427502766e+01 3.397965258766666352e+01 2.048728132805828750e+01 4.978378150415196934e-02
4.553562169135588533e+01 3.376198744759543047e+01 2.070239086104868065e+01 5.026217239497162564e-02
4.622038881180129977e+01 3.003324251737646478e+01 2.374636867082223546e+01 4.422341611514820497e-02
4.567561887626914086e+01 3.436548532469988260e+01 1.995889579903096589e+01 4.939407061055631903e-02
4.457973766152243655e+01 3.386004847116788596e+01 2.156021386730967748e+01 4.633569102807501977e-02
4.522142655121665200e+01 3.331837019373030984e+01 2.146020325505304527e+01 4.913462191654002775e-02
4.506498992133198556e+01 3.319194883753795011e+01 2.174306124113006788e+01 4.949794272387209038e-02
4.610730051290592257e+01 2.897187752322073706e+01 2.492082196387333326e+01 4.383615081187609147e-02
4.508704166320234918e+01 3.361281612485601755e+01 2.130014221194162261e+01 4.873581433797834900e-02
4.470028206627463874e+01 3.263529875728588792e+01 2.266441917643947335e+01 4.588159853742240779e-02
4.686407772789644355e+01 3.084767449512294490e+01 2.228824777698060089e+01 4.876833513101853229e-02
4.752146130200527097e+01 3.015229643460445175e+01 2.232624226339027018e+01 4.912564142178593024e-02
4.556911506854634553e+01 3.068219095426232457e+01 2.374869397719132635e+01 4.371604431168898269e-02
4.543765741261359636e+01 3.469277287051097147e+01 1.986956971687542506e+01 4.888894830511696099e-02
4.440098463710289423e+01 3.420470456072902010e+01 2.139431080216807501e+01 4.593497139860370365e-02
4.492024394305997248e+01 3.371060629421472754e+01 2.136914976272529998e+01 4.865630778198832412e-02
4.486803993411547253e+01 3.354994250820074342e+01 2.158201755768378050e+01 4.913823092876156567e-02
4.496513868874030351e+01 3.141939525338417027e+01 2.361546605787552267e+01 4.513373533045826613e-02
4.518697446357600001e+01 3.538486607382073856e+01 1.942815946260326854e+01 5.043648061593907633e-02
4.417249489495419823e+01 3.487123700834467144e+01 2.095626809670113389e+01 4.739344243902515741e-02
4.468013348849478916e+01 3.439292144397507656e+01 2.092694506753012718e+01 4.987602592905745341e-02
4.459527928303923971e+01 3.428155107019502879e+01 2.112316964676573505e+01 5.041093362397900540e-02
4.431325178472641824e+01 3.135871471908835417e+01 2.432803349618522404e+01 4.444500112478295961e-02
4.479939056499658534e+01 3.481506348413791585e+01 2.038554595086548460e+01 4.971095665401756986e-02
4.373689289399891322e+01 3.426082699398649822e+01 2.200228011201458500e+01 4.663941366028717672e-02
4.416989281101083975e+01 3.386877231365384944e+01 2.196133487533532147e+01 4.921192310399712111e-02
4.408293030836257742e+01 3.366201228340265317e+01 2.225505740823476586e+01 4.963261442651200478e-02
4.347704113342317100e+01 3.070033490649229080e+01 2.582262396008454175e+01 4.402689137142767190e-02
4.408470055611806515e+01 3.415870274696003861e+01 2.175659669692188913e+01 4.902851364190857070e-02
4.327153690839874400e+01 3.336489344330222906e+01 2.336356964829902338e+01 4.616080584277459931e-02
4.517856482763265547e+01 3.197621956877599203e+01 2.284521560359134895e+01 4.882095325528997692e-02
4.352459497537322619e+01 3.298714299564239383e+01 2.348826202898437643e+01 4.923477911710327087e-02
4.388841269278889001e+01 3.187491799779092005e+01 2.423666930942018993e+01 4.393702043737993806e-02
4.456136169987789231e+01 3.514484515321288427e+01 2.029379314690924474e+01 4.920854880071873216e-02
4.355132047882376156e+01 3.461772980975451475e+01 2.183094971142174145e+01 4.624389442153851310e-02
4.402682447662441234e+01 3.418202121459265896e+01 2.179115430878293580e+01 4.873093044744241514e-02
4.398161271960596252e+01 3.400510108488653316e+01 2.201328619550750076e+01 4.927074503077479017e-02
4.508853776351125475e+01 3.160166433498958938e+01 2.330979790149915232e+01 4.452234298314047128e-02
4.521733369087045418e+01 3.521672099337699535e+01 1.956594531575255758e+01 4.964269929025443007e-02
4.411000787643672538e+01 3.473263149586647813e+01 2.115736062769679648e+01 4.653592459850026952e-02
4.484141623559318646e+01 3.413815859548235920e+01 2.102042516892446855e+01 4.934020414599503412e-02
4.483791585092962606e+01 3.387442480512444121e+01 2.128765934394592918e+01 4.986901898583580989e-02
4.690840537157647816e+01 2.890209407696190169e+01 2.418950055146162015e+01 4.380197780898680698e-02
4.478932086391686340e+01 3.462362306949212609e+01 2.058705606659100340e+01 4.888452401474181058e-02
4.371682857376178077e+01 3.410509236846666425e+01 2.217807905777154076e+01 4.574923808979591139e-02
4.429366018829631457e+01 3.361953510883755314e+01 2.208680470286614295e+01 4.864894484182637202e-02
4.441627024757949727e+01 3.325506910347492351e+01 2.232866064894557923e+01 4.906099671550819691e-02
4.353118232848443370e+01 3.054606655859658559e+01 2.592275111291898781e+01 4.339539790460216623e-02
4.411394474363037688e+01 3.394387613256571257e+01 2.194217912380392121e+01 4.820298401777553532e-02
4.479620154203525573e+01 3.231236649591213705e+01 2.289143196205260367e+01 4.527911359743902464e-02
4.439438881895334532e+01 3.247662915850772691e+01 2.312898202253892421e+01 4.826870516761123941e-02
4.365540375775528048e+01 3.264871590220727171e+01 2.369588034003744426e+01 4.867247869167019847e-02
4.564113871406597411e+01 3.055088679247645800e+01 2.380797449345756078e+01 4.330081985740671241e-02
4.454506601182092851e+01 3.496626527944972906e+01 2.048866870872934598e+01 4.838259048323528821e-02
4.352618046462870893e+01 3.444981044837109607e+01 2.202400908700019144e+01 4.535634652415218571e-02
4.410950928984336628e+01 3.393414415184179234e+01 2.195634655831484494e+01 4.817395448698545690e-02
4.404470189481542519e+01 3.377363992944361115e+01 2.218165817574095300e+01 4.870688160525130095e-02
4.674279478794242237e+01 3.071821003982841347e+01 2.253899517222916771e+01 4.545547129685116594e-02
4.729572504028393354e+01 3.383542186396527995e+01 1.886885309575078296e+01 5.133509780419524826e-02
4.627993956170593748e+01 3.346139495630161065e+01 2.025866548199244832e+01 4.786470386858130560e-02
4.686239805069729414e+01 3.288791884277492983e+01 2.024968310652777603e+01 5.091803114772429362e-02
4.685529519710260615e+01 3.273946042718827698e+01 2.040524437570910976e+01 5.129447602343752827e-02
4.630389515984187199e+01 3.014453764248886714e+01 2.355156719766927154e+01 4.484172298145115698e-02
4.694305671136219615e+01 3.326785606773607640e+01 1.978908722090173100e+01 5.067890702983071649e-02
4.586993064165564959e+01 3.285719476804314354e+01 2.127287459030121042e+01 4.718178508585572917e-02
4.646423167450027591e+01 3.229995278753331434e+01 2.123581553796641330e+01 5.032286149406950404e-02
4.644164924477752265e+01 3.214105327656348265e+01 2.141729747865898759e+01 5.058212531258942518e-02
4.878019480200779157e+01 2.691467571230175437e+01 2.430512948569045406e+01 4.443404700941331470e-02
4.622835344547324610e+01 3.261785576158657562e+01 2.115379079294017828e+01 5.001077033764094598e-02
4.506701354928719638e+01 3.225510222089472734e+01 2.267788422981807983e+01 4.672064622737836376e-02
4.588035485708475392e+01 3.151635963558135600e+01 2.260328550733390074e+01 4.995660774551360928e-02
4.574048524761792578e+01 3.151827032013829566e+01 2.274124443224378567e+01 5.020762726585759061e-02
4.616911622690427208e+01 3.050847166540287247e+01 2.332241210769286255e+01 4.423519041791424550e-02
4.668563817321888365e+01 3.363838756463695034e+01 1.967597426214416245e+01 5.008514464096457119e-02
4.566209316811087859e+01 3.323234039768478709e+01 2.110556643420433431e+01 4.668845483816814329e-02
4.621348048642509099e+01 3.270154515721009858e+01 2.108497435636481399e+01 4.976337198492200575e-02
4.623919579077720954e+01 3.251178275341641921e+01 2.124902145580637480e+01 5.014139401698413517e-02
4.899932585709451871e+01 2.740294916774376333e+01 2.359772497516171796e+01 4.519960954743395404e-02
4.976545760952107855e+01 3.044573405696741375e+01 1.978880833351151125e+01 5.127974135017200619e-02
4.863109758994871612e+01 3.009190345208704187e+01 2.127699895796424201e+01 4.786818154584794593e-02
4.918925799237779017e+01 2.958443233658863036e+01 2.122630967103358302e+01 5.082102715356191791e-02
4.914871298322102433e+01 2.944458059828709651e+01 2.140670641849187206e+01 5.110265367936966258e-02
4.898767022820973693e+01 2.677765564446217539e+01 2.423467412732809123e+01 4.457762201759610937e-02
4.928941530143439564e+01 2.992306403091255973e+01 2.078752066765303752e+01 5.060327828968658875e-02
4.816655644066345587e+01 2.953903604360869650e+01 2.229440751572784407e+01 4.717084795037274764e-02
4.871044688193472183e+01 2.905304150112370820e+01 2.223651161694156997e+01 5.021116680986652953e-02
4.873968021850387800e+01 2.880869458516203352e+01 2.245162519633408493e+01 5.037225760983581047e-02
4.771922707850149692e+01 2.644961090839577977e+01 2.583116201310271975e+01 4.423786387879053567e-02
4.872143824030357706e+01 2.922527639803602639e+01 2.205328536166039299e+01 4.996243945599229686e-02
5.058880416710870520e+01 2.659700583236444515e+01 2.281419000052683899e+01 4.675098252277985061e-02
5.072608240781203648e+01 2.654195780091166412e+01 2.273195979127630295e+01 4.988514756755699914e-02
4.867287445626082132e+01 2.789822590449270123e+01 2.342889963924649166e+01 5.003569479375684359e-02
4.838560188862913236e+01 2.730418201365158737e+01 2.431021609771928027e+01 4.399809570706676720e-02
4.928692130852557085e+01 3.012281732782680876e+01 2.059026136364762749e+01 5.003712719168555006e-02
4.811824059109568452e+01 2.970642954597681751e+01 2.217532986292748731e+01 4.671174959128116672e-02
4.959945839716947802e+01 2.862110167644479830e+01 2.177943992638572368e+01 4.967902073374629024e-02
4.882836778845852166e+01 2.877813223577322077e+01 2.239349997576827178e+01 4.996044786002693666e-02
4.853568669979673444e+01 2.853124590616496548e+01 2.293306739403830008e+01 4.478138006844480795e-02
4.889318129926583367e+01 3.191689914919419735e+01 1.918991955153997608e+01 5.050332537026244739e-02
4.783749879120303206e+01 3.150197260488869233e+01 2.066052860390826851e+01 4.718694602482222805e-02
4.830919642279825155e+01 3.105639139654589442e+01 2.063441218065585758e+01 5.005631891871682726e-02
4.832048244477545040e+01 3.088056690129728210e+01 2.079895065392726750e+01 5.044225119126278384e-02
4.769482770768966873e+01 2.835819968564399218e+01 2.394697260666633198e+01 4.413155567913288474e-02
4.844505239474592884e+01 3.137690633712824706e+01 2.017804126812581700e+01 4.981217060047340994e-02
4.739541474102826157e+01 3.093253949867620989e+01 2.167204576029552854e+01 4.647009441791163931e-02
4.787643837729410023e+01 3.049420447034388104e+01 2.162935715236202938e+01 4.942746542281949845e-02
4.785416957273732663e+01 3.031111651705082366e+01 2.183471391021185326e+01 4.969412512694737494e-02
4.802412919737718511e+01 2.671028653490656524e+01 2.526558426771623900e+01 4.378106866631791688e-02
4.769277259533534874e+01 3.079558854929802791e+01 2.151163885536662335e+01 4.916804620203390347e-02
4.720200210213911163e+01 2.999945192457252219e+01 2.279854597328836263e+01 4.604521243847264217e-02
4.968976151230562266e+01 2.826528069052448089e+01 2.204495779716989645e+01 4.909702231199195716e-02
4.766668851660504913e+01 2.933877313683095167e+01 2.299453834656399920e+01 4.935468134433997067e-02
4.766799919018412623e+01 2.853500669168316151e+01 2.379699411813271581e+01 4.356630826786993954e-02
4.830926463026452211e+01 3.162146943906588348e+01 2.006926593066960862e+01 4.924859371604789482e-02
4.737634833990295391e+01 3.115624648666149810e+01 2.146740517343555510e+01 4.601790400314583612e-02
4.769260528095025364e+01 3.083718059924409616e+01 2.147021411980566441e+01 4.889976218503949701e-02
4.768752840154392914e+01 3.065903796602287912e+01 2.165343363243318464e+01 4.928810511296465025e-02
4.851190526597356012e+01 2.838983732387924519e+01 2.309825741014719114e+01 4.493916120367309058e-02
4.803951539846518415e+01 3.239912841866095761e+01 1.956135618287385469e+01 5.075557494415464110e-02
4.695640679341536838e+01 3.192224788716132622e+01 2.112134531942330185e+01 4.742789486850604308e-02
4.744947097275288428e+01 3.153639706557729028e+01 2.101413196166982544e+01 5.008171469649041335e-02
4.748819106924725020e+01 3.130690970970976039e+01 2.120489922104299296e+01 5.052475084112072884e-02
4.725068027894891287e+01 2.855979060222821175e+01 2.418952911882287182e+01 4.427661615629439884e-02
4.768706551287123574e+01 3.179086146697775916e+01 2.052207302015100510e+01 5.004874405329189785e-02
4.658454312286563948e+01 3.135710975918127019e+01 2.205834711795307612e+01 4.669513661379088437e-02
4.701008202533967761e+01 3.099087863920688690e+01 2.199903933545343548e+01 4.944025272781963493e-02
4.752501626768466281e+01 3.042297958003593905e+01 2.205200415227941235e+01 4.976385533969333169e-02
4.684455835284971670e+01 2.735816264210635396e+01 2.579727900504392579e+01 4.389296510335748136e-02
4.804133029458773763e+01 3.031730496495341143e+01 2.164136474045884384e+01 4.937748236134227586e-02
4.591704835431104925e+01 3.064759454623481005e+01 2.343535709945413359e+01 4.624157376192390007e-02
4.633925364904086308e+01 3.035788627104917481e+01 2.330286007990996566e+01 4.908214439861952050e-02
4.869261866873218736e+01 2.855372541714759649e+01 2.275365591412021971e+01 4.939729997202097628e-02
4.979958978368912881e+01 2.693787663620519268e+01 2.326253358010568206e+01 4.371243188397151702e-02
4.737688006406803964e+01 3.218465925940053296e+01 2.043846067653143450e+01 4.948874330496395163e-02
4.638675618446199422e+01 3.173575256644669906e+01 2.187749124909131027e+01 4.624887932992573919e-02
4.698760286343374304e+01 3.116554951100432191e+01 2.184684762556193149e+01 4.891010753411744599e-02
4.681856721405410582e+01 3.114683085543215313e+01 2.203460193051374816e+01 4.935924022372489145e-02
4.786327512619885738e+01 2.878756654993627961e+01 2.334915832386486656e+01 4.437390019104164168e-02
4.799578632519257582e+01 3.225843018691405462e+01 1.974578348789337667e+01 5.002864248527355562e-02
4.701700142698229712e+01 3.178584042171014445e+01 2.119715815130756553e+01 4.663515194280802578e-02
4.750447306090514132e+01 3.132218295290125809e+01 2.117334398619360059e+01 4.959457531118564855e-02
4.750023434214093498e+01 3.115402859266638558e+01 2.134573706519268654e+01 5.003513059306402555e-02
4.977843747723825629e+01 2.656899327345945139e+01 2.365256924930228521e+01 4.368319938005797709e-02
4.754995710806691278e+01 3.170546782895581472e+01 2.074457506297726894e+01 4.929154421486922621e-02
4.653312208185078447e+01 3.122536348287265540e+01 2.224151443527655658e+01 4.586939884343411294e-02
4.787667465842958592e+01 3.029799772457349505e+01 2.182532761699691193e+01 4.892619098433823033e-02
4.708189679916105064e+01 3.051701437733793298e+01 2.240108882350101283e+01 4.924378951065736670e-02
4.638294175320965707e+01 2.783045910359068031e+01 2.578659914319966617e+01 4.331458859282925206e-02
