Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
M4,13169742,19300112,11364198,4623510,9664627,9386035,3621961,2735528,4909053,9185241,221042,773945,4716773,816518,446341,128201,359754,1734587,1040032,602543,179975,1021063,528390,566594,652994,146027,385124,311543,607589,119914,307921,1324358,225697,1665368,1433180,225310,1334169,1205166,1347456,465145,133953,323279,437085,460542,79181,303683,186008,209412,618263,395378,351875,406939,213940,231857,230046,210039,142989,93587,220161,338639,387092,142174,212848,714544,1530897,1527195,3734829,3581850,929880,941021,613282,154113,322093,91642,100508,671585,266943,233775,459540,981727,1438423,1290370,876629,937374,161962,599125,453549,346960,228313,63745,162153,95603,190715,1322171,1627691,893891,459705,920450,1120631,1725965,1412620,244083,146667,1345085,558827,661310,199848,427406,207824,120627
M4,13619216,19045767,11557580,4632085,9891103,9496223,3750765,2892391,4969694,8814217,235674,812827,4845799,800983,462948,128346,378591,1823047,1069445,601768,180477,1075817,531429,588265,634488,152844,409190,313870,604608,118380,309026,1344934,237765,1719673,1483847,224256,1420216,1195920,1309779,463404,135213,326949,434593,484366,82915,329291,189473,216913,613135,401893,359835,421829,218763,237573,240380,220928,138726,93222,227994,344843,413500,145092,209487,732452,1589378,1597039,3864413,3627383,938616,954604,625275,163193,327695,92272,98623,688429,275188,231391,473534,986256,1468101,1345998,912472,961310,167779,607377,448426,350850,225389,64806,159250,95710,194481,1305885,1644746,902026,464654,906449,1126048,1729216,1399690,252171,152044,1321802,553779,682079,192727,434196,215157,125870
M5,11518783,16572575,10144590,4278917,9034826,8872994,3438161,2734390,4611104,8432618,225277,785232,4659770,772652,445853,124420,360292,1752796,1022638,582736,178260,1066086,523086,579672,623449,149773,405325,307434,596335,119903,309988,1314721,235565,1696564,1451989,226962,1385880,1179156,1294085,461536,132655,329676,439452,479475,83474,322596,190678,215461,619254,403301,363950,421334,221226,240227,238572,222544,142191,96588,229757,351692,411931,148304,222451,739187,1610291,1593975,3924589,3615889,948690,977782,629911,167429,342248,93944,101196,703333,278105,240070,489386,1014266,1497061,1379362,948100,988089,179732,630398,467029,372420,239596,68693,167294,103021,204120,1392686,1765194,954202,490448,997372,1208367,1816350,1506137,256976,160255,1402775,592608,703526,203792,466462,229034,131421
M5,11427124,16767145,10206726,4315926,9144522,8776227,3443671,2723338,4614196,8452364,221380,777085,4628238,778009,440142,126703,355963,1736471,1012956,577535,174171,1044576,518342,575645,616136,147739,407203,309848,597118,119134,315103,1294904,236037,1710267,1457595,226284,1383558,1194278,1323886,472047,137602,332229,446348,482390,84146,325574,194285,218568,621541,409815,365151,418866,223266,238951,243714,221026,148069,95831,230601,348854,418750,149360,220491,738554,1587274,1580793,3878946,3699348,946127,963240,634898,159721,328040,93375,100981,695974,278494,241825,468586,1002757,1459811,1362590,928256,969407,173723,623501,472284,369774,233733,68076,167310,103687,204417,1384272,1740158,946278,491676,969993,1210001,1850524,1471437,262625,162893,1442331,597360,709720,212606,466998,233833,134697
M5,11113612,17324035,10264022,4493853,9211214,9035484,3426874,2735433,4857797,8833401,221971,772128,4752612,819595,442949,130128,366584,1731148,1028748,611907,182623,1032331,548777,581408,656951,152900,397068,319160,622050,123145,323020,1357103,233499,1690030,1480452,235842,1379407,1241873,1378437,489361,141087,340370,462077,496483,87754,330293,193228,220128,649543,414339,369007,431572,233254,248652,240677,223091,148402,99178,237509,356870,419157,149379,221127,747035,1648618,1600641,4013115,3871296,994002,1035255,668386,164946,341645,100841,106336,708686,287174,250557,498741,1089835,1517052,1395164,942099,1025974,176455,669106,480493,390167,252732,68976,174120,101155,208106,1351519,1723120,970964,496019,1034339,1163555,1925210,1477506,262353,156953,1407530,594284,693161,210893,439439,222063,125348
M5,11356184,16886619,9897700,4372314,8738112,8690708,3385877,2781470,4782177,8684604,224872,794889,4719190,792617,445276,126046,365959,1720266,1024852,611335,169876,1061124,507870,569418,641124,153180,405720,301807,602538,115185,303803,1327630,236128,1654065,1477240,225085,1402400,1200505,1343278,460436,137531,323398,446083,489626,81458,329160,186714,214054,621962,393349,357421,424515,224351,248671,239008,224926,143232,93799,232211,353998,415039,150386,215847,734656,1619117,1593922,3838146,3751718,964952,955313,641100,160667,333796,95175,100115,698552,281228,241480,490874,1041241,1462856,1389558,940841,1011556,175675,654353,475861,385449,255603,67952,180386,100732,212260,1376766,1703745,966542,473221,990424,1140108,1863747,1425952,267795,161635,1371345,598123,708168,205724,478539,235144,124639
M6,11364265,16241643,10026554,4243781,9095294,8829216,3498968,2759609,4713692,8511093,227321,794066,4737872,785631,459603,125668,371589,1748487,1035909,590437,174767,1063217,518644,580085,621848,151371,411458,307397,602351,118183,306319,1322041,237754,1709706,1461869,229278,1397622,1186334,1312782,477162,138912,325962,439554,483622,83347,330078,190636,219413,624678,406831,374152,422670,220514,240644,248555,223770,141802,98947,230506,347069,412040,148052,218683,728692,1552535,1558878,3870305,3615036,932401,951190,637428,163802,327957,93392,101614,687957,275271,234139,473171,977443,1462521,1350253,918539,946000,175332,627495,442907,371616,242331,65202,172409,98754,207382,1376002,1680959,921758,469052,948668,1140869,1711228,1429743,252818,153714,1360852,584897,684398,192468,458609,232486,127261
M6,11338651,16475708,10067895,4315309,9145383,8955265,3482994,2793397,4633433,8633372,224574,797864,4682604,793031,454379,127761,365699,1769277,1038517,581230,180210,1061961,533097,584897,631681,150826,408694,311953,614220,120637,314960,1311025,238267,1717676,1456366,231707,1411509,1199757,1338929,475325,137376,331771,446198,482245,85552,325940,189524,217611,636005,402768,376215,426297,227869,239096,242731,222305,142667,96594,228530,347553,416396,147266,223428,741162,1601216,1583979,3868728,3648861,942189,979344,641897,163633,327324,95500,102220,678366,279584,239423,469233,1003290,1451212,1328480,913633,960139,170558,619720,455972,376400,239250,65506,169287,100683,202561,1360550,1694384,896050,476239,930126,1155714,1741703,1445439,252269,155405,1376161,570187,709152,200949,438327,229353,128403
M6,11181901,17106039,10469994,4469224,9275628,9268144,3505551,2745801,4798027,9039960,223887,779940,4759980,832242,448223,130334,368351,1790792,1044694,609976,185157,1048058,538274,588378,665630,151542,401431,321049,623442,124804,325763,1387255,235835,1727002,1478884,236820,1392234,1255537,1400997,485814,141075,343661,456659,489677,85727,334278,196952,224274,643338,418860,374817,436681,232621,248890,238956,223458,152113,99328,240795,354346,414726,154075,223224,736234,1635198,1585244,3851634,3803818,988869,994526,674585,163834,333100,97995,106370,693818,282185,245151,488999,1042219,1482555,1351537,918491,996361,170386,652421,479969,372037,247974,65598,171506,105527,207109,1367908,1722084,923383,494850,944502,1169766,1720647,1465008,247159,156000,1389465,572010,695251,200254,467087,225396,130661
M6,10807889,16763081,10104812,4338723,9085635,8927447,3426569,2652690,4679766,8691201,217132,763627,4592118,810418,438560,130241,352936,1742560,1024970,608262,180720,1027161,520367,570510,637481,148010,392750,310031,607335,119153,318954,1338424,232455,1710124,1444537,232182,1355490,1207946,1339895,474528,137623,330599,447928,474786,83154,313112,189586,219124,623136,408285,364604,417109,225419,235107,241066,221839,147104,93686,229752,341032,404327,146810,219634,733866,1557251,1584748,3845187,3685305,939121,968011,650293,158654,317389,92867,102899,691804,273011,235031,476880,1006400,1461488,1360508,919132,955347,172311,629615,446711,376024,235507,67089,168975,101603,209571,1374906,1710055,922795,472680,912142,1140901,1732023,1439933,258631,154772,1373010,579005,699894,192452,457553,226973,128393
